objectid,parentid,admin_notes,title,creator,date,description,focused_movement,subject,people,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,WORKSPACE1,WORKSPACE2,WORKSPACE3,object_location,image_small,image_thumb,image_alt_text,,temp1,temp2,temp3
dg_1742486341,p_AJ_1,,Letter to the Editor (Leon Long),Ann-Janine (AJ) Morey '73,1970-06-02,"Morey writes to the editor about the ""tragedy"" in Alabama with primary victory of George Wallace. She stresses the hypocracy of the war in Southeast Asia. ",Anti-Vietnam war,Anti-Vietnam war activists; Letter; Public Response,Ann-Janine (AJ) Morey '73,"Liberty, MO",39.246653585768634,-94.41847850872949,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486341.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486341.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486341.jpg,,,,,
dg_1742486342,p_AJ_1,,Leon Long's Response to the Letter to the Editor and Readers Digest Clipping,Leon Long,1970-06-18,"Long writes to Morey, citing that ""communists know nothing but force"" and asking ""what do you think Mr. Nixion should do about it, surrender???""",Anti-Vietnam war,Anti-Vietnam war activists; Letter; Public Response,Ann-Janine (AJ) Morey '73,"Appleton City, MO",38.190406119031174,-94.03038528390526,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486342.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486342.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486342.jpg,,,,,
dg_1742486343,p_AJ_2,,Ten Myths About Vietnam,Business Excutives Move For Vietnam Peace,1969-12,This brochure was one of the brochures that Grinnell Students used when going door-to-door to campagin against the war. ,Anti-Vietnam war,Anti-Vietnam war activists; Brochure; Outreach,,"Baltimore, MD",39.301874948501144, -76.61997201339533,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486343.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486343.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486343.jpg,,,,,
dg_1742486344,p_AJ_2,,BEM Letter to Morey and What is BEM brochure,Business Excutives Move For Vietnam Peace,1970-06-29,Ann Griffiths from BEM responds to Morey's request for materials. ,Anti-Vietnam war,Anti-Vietnam war activists; Brochure; Outreach,,"Washington, DC",38.890085328738934, -77.00905227281248,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486344.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486344.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486344.jpg,,,,,
dg_1742486345,p_AJ_2,,Appropriation Request For Vietnam War,Business Excutives Move For Vietnam Peace,1969,This brochure was one of the brochures that Grinnell Students used when going door-to-door to campagin against the war. ,Anti-Vietnam war,Anti-Vietnam war activists; Brochure; Outreach,,"Baltimore, MD",39.301874948501144, -76.61997201339533,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486345.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486345.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486345.jpg,,,,,
dg_1742486346,p_AJ_1,,A Declaration of Conscience - Letter to Editor of Liberty Shopper News,Ann-Janine (AJ) Morey '73,1970-05-14,Clipping of Morey's contested Letter to the editor in the Liberty Shopper News. ,Anti-Vietnam war,Anti-Vietnam war activists; Letter; News Coverage,,"Liberty, MO",39.246653585768634,-94.41847850872949,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486346.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486346.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486346.jpg,,,,,
dg_1742486347,p_AJ_1,,Lyndon Johnson Letter to Morey,President Lyndon B. Johnson,1968-04-13,"Signed letter from President Johnson, noting Morey's thoughtfulness and stating that ""we shall succeed"". It is not clear what exactly the letter is in response to, but the assassination of Martin Luther King Jr.occured on April 4th. ",Anti-Vietnam war,Anti-Vietnam war activists; Letter; Government Response,,"Washington, DC",38.897823420422824,-77.03514156634232,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486347.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486347.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486347.jpg,,,,,
dg_1742486348,p_AJ_1,,Letter from Senator Thomas F. Eagleton,Senator Thomas F. Eagleton,1970-05,"Senator Thomas Eagleton, a senator from Missouri, responds to a letter from Morey in which she shares her thoughts on the ""Cambodian situation"". He states that he has to resort to using a form letter to respond because of the sheer number of letters he is recieving about the situation. ",Anti-Vietnam war,Anti-Vietnam war activists; Letter; Government Response,,"Washington, DC",38.890085328738934, -77.00905227281248,Grinnell College,,pdf,pdf,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486348.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486348.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486348.jpg,,,,,
dg_1742486351,BS_1,,Closing the College: A Journal,Bev Schnabel '72,1970-05-05,"Journal entries discussing the activities Bev and other students participated in after the shooting at Kent State. She wrote on the back of other materials that were passed around campus at the time, such as a list of background reading for the conference on the working class and Glenn Leggett's memo about labor negotiations. ",Anti-Vietnam war,Anti-Vietnam war activists; diary,,Grinnell College,41.74965439083347,-92.72070833747784,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486351.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486351.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486351.jpg,,,,,
dg_1742486352,,,Call for a Vietnam Moratorium,,1969-10-15,"This memo outlines a call for a Vietnam Moratorium. The call sates that the war is largely unsupported, but continues regardless. They ""call for a periodic moratorium on 'business as usual' in order that students, faculty
members, and concerned citizens can devote time and energy to the important work of taking
the issue of Peace in Vietnam to the larger community. ",Anti-Vietnam war,Anti-Vietnam war activists;Moratorium,,Grinnell College,41.74965439083347,-92.72070833747784,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486352.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486352.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486352.jpg,,,,,
dg_1742486353,,,October 15 Moratorium - Schedule of Events,,1969-10-15,This memo provides a schedule and a call to action for the October 15th moratorium. ,Anti-Vietnam war,Anti-Vietnam war activists;Moratorium,,"Central Park, Grinnell IA",41.7425177801849,-92.72323318621338,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486353.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486353.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486353.jpg,,,,,
dg_1742486354,,,Letter from Dean Joseph Wall about the Moratorium,,1969-10-31,"Joseph F. Wall, Dean of the College writes in this letter about the recent attention the College has recieved from the FBI. They believed the FBI was investigating the moratorium. Wall's response to the incident was to inform students of the FBI's presence and their rights. The College claimed that they did not provide information about any Grinnell students to the FBI. ",Anti-Vietnam war,Anti-Vietnam war activists;Moratorium;letter;College's Response,,Grinnell College,41.74965439083347,-92.72070833747784,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486354.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486354.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486354.jpg,,,,,
dg_1742486355,,,A Million to March in Wasington,,1969-11-13,Two memos about a March in Washington and Grinnell students going there,Anti-Vietnam war,Anti-Vietnam war activists;,,"Washington, DC",38.897823420422824,-77.03514156634232,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486355.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486355.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486355.jpg,,,,,
dg_1742486356,,,On to Washington,,1969-11-13,"A list of students going to Washington from Grinnell as well as information about the trip, map, etc. ",Anti-Vietnam war,Anti-Vietnam war activists;,,"Washington, DC",38.897823420422824,-77.03514156634232,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486356.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486356.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486356.jpg,,,,,
dg_1742486357,,,March on Washington November 15th,New Mobilization Committee to End the War in Vietanam,1969-11-15,A Poster for the March on Washington to bring all the troops home. ,Anti-Vietnam war,Anti-Vietnam war activists;,,"Washington, DC",38.897823420422824,-77.03514156634232,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486357.tif,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486357.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486357.jpg,,,,,
dg_1742486358,,,Citizens of Grinnell,,1969-11-12,"An open letter to the citizen of Grinnell, asking them to critically consider the war in Vietnam and what they can do to end it",Anti-Vietnam war,Anti-Vietnam war activists;letter,,"Central Park, Grinnell IA",41.7425177801849,-92.72323318621338,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486358.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486358.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486358.jpg,,,,,
dg_1742486359,,,November 13-14 Moratoroium Schedule of events,,1969-11-13,A schedule of the activist events scheduled for the Anti-Vietnam War Moratorium,Anti-Vietnam war,Anti-Vietnam war activists;,,"Central Park, Grinnell IA",41.7425177801849,-92.72323318621338,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486359.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486359.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486359.jpg,,,,,
dg_1742486360,,,Now it's time for ... YOU BET YOUR LIFE,Skip MacMullen & Laurie Levatin ,1969-12-01,Information on the draft lottery,Anti-Vietnam war,Anti-Vietnam war activists;,,Grinnell College,41.74965439083347,-92.72070833747784,Grinnell College,,,,,,,pdf,,,,https://collectionbuilder.blob.core.windows.net/objs/student_activism/dg_1742486360.pdf,https://collectionbuilder.blob.core.windows.net/smalls/student_activism/dg_1742486360.jpg,https://collectionbuilder.blob.core.windows.net/thumbs/student_activism/dg_1742486360.jpg,,,,,
